Gene	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_1	Sample_2	Sample_3
ENSG00000149639.14|SOGA1	55	0	2	13	78	223	71	81	215
ENSG00000149646.12|CNBD2	0	0	0	0	0	0	0	0	0
ENSG00000149651.3|SPINT4	0	0	0	0	0	0	0	0	0
ENSG00000149654.9|CDH22	0	0	0	0	0	0	0	0	0
ENSG00000149656.8|LINC00266-1	0	0	0	0	0	0	0	0	0
ENSG00000149657.19|LSM14B	45	51	156	15	115	99	32	14	93
ENSG00000149658.17|YTHDF1	343	130	290	376	495	494	353	697	1066
ENSG00000149679.11|CABLES2	40	52	47	40	92	113	1	1	1
ENSG00000149716.12|ORAOV1	284	195	567	206	204	509	139	238	672
ENSG00000149735.6|GPHA2	0	0	0	0	0	0	0	0	0
ENSG00000149742.9|SLC22A9	0	0	0	0	0	0	0	1	0
ENSG00000149743.13|TRPT1	515	816	1297	1010	561	1523	505	497	775
ENSG00000149761.8|NUDT22	1227	1766	2052	2103	2746	3651	1097	1181	1151
ENSG00000149781.12|FERMT3	8757	3608	7394	8297	19582	20674	6285	3373	8814
ENSG00000149782.11|PLCB3	99	103	57	24	214	105	73	1	18
ENSG00000149792.8|MRPL49	906	739	2291	1455	1057	1538	1086	1382	1186
ENSG00000149798.4|CDC42EP2	324	243	421	70	514	1420	271	185	270
ENSG00000149806.10|FAU	16919	20074	23762	22294	11366	22514	25203	21339	25792
ENSG00000149809.14|TM7SF2	559	484	580	889	298	1188	229	377	398
ENSG00000149823.8|VPS51	2819	2144	3430	3030	3191	4878	2187	3045	4606
ENSG00000149922.10|TBX6	76	1	2	1	63	87	1	0	47
ENSG00000149923.13|PPP4C	4976	4608	4741	4120	9249	11994	3157	3981	6677
ENSG00000149925.17|ALDOA	26648	16000	25585	25307	50205	58813	32724	25247	51033
ENSG00000149926.13|FAM57B	0	0	0	0	0	0	1	0	0
ENSG00000149927.17|DOC2A	0	0	0	0	0	0	0	0	0
ENSG00000149929.15|HIRIP3	213	5	636	420	188	638	196	119	104
ENSG00000149930.17|TAOK2	164	206	354	244	211	378	187	371	129
ENSG00000149932.16|TMEM219	5768	5114	5708	6727	9665	10436	6192	4856	9380
ENSG00000149948.13|HMGA2	1	0	0	0	0	0	1	0	0
ENSG00000149968.11|MMP3	0	0	0	0	0	0	0	0	0
ENSG00000149970.14|CNKSR2	67	0	99	11	35	43	24	38	189
ENSG00000149972.10|CNTN5	0	0	0	0	0	0	0	0	0
ENSG00000150045.11|KLRF1	105	78	438	139	33	457	107	37	64
ENSG00000150048.10|CLEC1A	13	0	18	0	0	2	0	0	6
ENSG00000150051.13|MKX	0	0	0	0	0	0	0	0	0
ENSG00000150054.18|MPP7	197	198	237	128	204	242	388	155	590
ENSG00000150093.18|ITGB1	899	574	1050	1182	1641	1982	653	477	678
ENSG00000150175.13|FRMPD2B	0	0	0	0	0	0	0	0	0
ENSG00000150201.14|FXYD4	0	0	0	0	0	0	0	0	0
ENSG00000150244.11|TRIM48	0	0	0	0	0	0	0	0	0
ENSG00000150261.4|OR8K1	0	0	0	0	0	0	0	0	0
ENSG00000150269.1|OR5M9	0	0	0	0	0	0	0	0	0
ENSG00000150275.17|PCDH15	0	0	0	0	0	0	0	0	0
ENSG00000150276.8|PPIAP26	0	0	0	0	0	0	0	0	0
ENSG00000150281.6|CTF1	1	0	0	0	0	0	0	9	1
ENSG00000150316.11|CWC15	729	1048	1070	1132	1039	1836	1530	1708	2203
ENSG00000150337.13|FCGR1A	144	158	186	173	4583	2482	89	76	260
ENSG00000150347.14|ARID5B	1017	661	1069	1517	1414	1983	680	956	1245
ENSG00000150361.11|KLHL1	0	0	0	0	0	0	0	0	0
ENSG00000150394.13|CDH8	0	0	0	0	0	0	0	0	0
ENSG00000150401.14|DCUN1D2	68	46	115	45	25	61	46	180	65
ENSG00000150403.17|TMCO3	371	130	454	461	716	932	766	499	1634
ENSG00000150433.9|TMEM218	283	291	308	221	497	575	22	8	171
ENSG00000150455.13|TIRAP	203	158	132	133	270	50	158	53	114
ENSG00000150456.10|EEF1AKMT1	152	160	155	238	162	183	79	44	79
ENSG00000150457.8|LATS2	151	118	155	66	93	198	128	28	474
ENSG00000150459.12|SAP18	1924	1598	2373	2133	2320	4024	2669	2021	3353
ENSG00000150471.16|ADGRL3	0	0	0	0	0	0	0	0	0
ENSG00000150477.14|KIAA1328	137	86	92	138	75	142	28	34	56
ENSG00000150510.16|FAM124A	10	60	0	0	0	36	1	1	46
ENSG00000150527.17|CTAGE5	378	156	332	240	125	464	351	90	395
ENSG00000150540.13|HNMT	93	61	34	21	80	320	69	29	143
ENSG00000150551.10|LYPD1	0	0	0	0	0	0	0	0	0
ENSG00000150556.16|LYPD6B	0	0	0	0	0	0	0	1	0
ENSG00000150593.17|PDCD4	1130	1002	2210	1470	1201	2913	1896	1390	1939
ENSG00000150594.6|ADRA2A	24	0	0	145	0	35	15	0	30
ENSG00000150625.16|GPM6A	11	0	0	7	0	0	0	0	0
ENSG00000150627.15|WDR17	0	0	0	0	15	36	0	0	0
ENSG00000150628.6|SPATA4	0	0	0	0	0	0	0	0	0
ENSG00000150630.3|VEGFC	0	0	0	0	1	0	1	0	0
ENSG00000150636.17|CCDC102B	2	1	53	11	2	80	0	0	2
ENSG00000150637.8|CD226	165	142	365	187	315	455	101	72	90
ENSG00000150656.14|CNDP1	0	0	0	2	0	0	8	1	0
ENSG00000150667.6|FSIP1	2	13	8	5	0	2	2	1	0
ENSG00000150672.16|DLG2	0	0	25	5	0	1	0	0	0
ENSG00000150676.12|CCDC83	11	44	0	0	0	0	0	0	0
ENSG00000150681.9|RGS18	345	98	4	337	1138	781	190	45	74
ENSG00000150687.11|PRSS23	495	1384	1662	1504	86	758	343	574	609
ENSG00000150712.10|MTMR12	88	107	87	116	259	114	424	169	272
ENSG00000150722.10|PPP1R1C	0	0	0	0	0	0	0	0	0
ENSG00000150732.8|AL136372.1	0	0	0	0	0	0	0	0	0
ENSG00000150750.7|C11orf53	0	0	0	0	0	0	0	0	0
ENSG00000150753.11|CCT5	736	695	1552	502	1625	2348	297	269	673
ENSG00000150756.13|FAM173B	26	17	135	35	146	81	1	8	54
ENSG00000150760.12|DOCK1	0	0	0	0	27	0	0	0	0
ENSG00000150764.13|DIXDC1	10	0	109	63	13	8	23	0	5
ENSG00000150768.15|DLAT	276	115	261	352	520	318	150	156	152
ENSG00000150773.10|PIH1D2	0	0	0	0	0	0	0	0	0
ENSG00000150776.17|C11orf57	169	122	118	223	87	226	83	111	298
ENSG00000150779.11|TIMM8B	379	373	439	296	758	865	192	176	233
ENSG00000150782.11|IL18	105	33	128	38	141	132	51	82	110
ENSG00000150783.9|TEX12	0	3	0	0	2	0	0	3	0
ENSG00000150787.7|PTS	562	372	421	445	366	782	734	581	975
ENSG00000150867.13|PIP4K2A	1346	1198	1748	1506	1592	2386	776	701	1182
ENSG00000150873.11|C2orf50	7	0	10	0	11	0	10	34	0
ENSG00000150893.10|FREM2	0	0	0	0	0	0	0	0	0
ENSG00000150907.7|FOXO1	454	667	433	330	297	857	687	644	729
ENSG00000150938.9|CRIM1	3	22	18	25	6	130	4	1	10
ENSG00000150961.14|SEC24D	322	182	372	174	613	550	402	149	414
ENSG00000150967.17|ABCB9	187	58	118	87	268	427	172	52	153
ENSG00000150977.10|RILPL2	3105	1766	1539	1159	2910	4914	1632	1496	5406
ENSG00000150990.7|DHX37	206	131	412	109	261	367	366	178	469
ENSG00000150991.14|UBC	15495	11385	18692	15024	9444	22233	27026	19614	33458
ENSG00000150995.18|ITPR1	268	232	483	176	122	363	246	112	394
ENSG00000151005.4|TKTL2	0	0	0	0	0	0	0	0	0
ENSG00000151006.7|PRSS53	2	1	3	14	1	6	19	0	21
ENSG00000151012.13|SLC7A11	4	7	2	4	27	7	41	13	31
ENSG00000151014.5|NOCT	203	56	26	139	171	41	423	176	1414
ENSG00000151023.16|ENKUR	94	0	0	129	80	57	55	16	41
ENSG00000151025.9|GPR158	0	0	0	0	0	0	0	0	0
ENSG00000151033.8|LYZL2	0	0	0	0	0	0	0	0	0
ENSG00000151062.14|CACNA2D4	297	62	474	590	507	407	149	113	452
ENSG00000151065.13|DCP1B	80	4	192	197	227	398	184	44	31
ENSG00000151067.21|CACNA1C	33	18	55	8	0	52	5	94	35
ENSG00000151079.7|AC005833.1	0	0	0	0	0	0	0	0	0
ENSG00000151090.17|THRB	12	0	0	33	50	56	41	22	6
ENSG00000151092.16|NGLY1	169	186	365	187	320	377	212	209	244
ENSG00000151093.7|OXSM	57	157	136	89	83	178	174	74	117
ENSG00000151116.16|UEVLD	41	76	146	37	53	116	6	18	43
ENSG00000151117.8|TMEM86A	22	0	50	224	53	69	156	136	315
ENSG00000151131.10|C12orf45	66	113	75	47	73	162	31	100	106
ENSG00000151135.9|TMEM263	230	155	286	348	145	387	505	327	391
ENSG00000151136.14|BTBD11	50	117	51	285	168	112	215	175	271
ENSG00000151148.13|UBE3B	283	408	484	439	501	868	107	195	253
ENSG00000151150.21|ANK3	379	140	563	223	417	281	485	351	256
ENSG00000151151.5|IPMK	140	4	48	175	131	443	143	180	193
ENSG00000151164.18|RAD9B	0	1	0	0	0	18	4	0	2
ENSG00000151176.7|PLBD2	925	198	1241	1429	1367	3515	1237	770	2251
ENSG00000151208.16|DLG5	79	56	34	107	23	22	30	13	14
ENSG00000151224.12|MAT1A	0	0	0	0	0	0	0	0	0
ENSG00000151229.12|SLC2A13	148	91	114	122	47	272	61	128	181
ENSG00000151233.10|GXYLT1	18	68	47	16	29	19	15	25	45
ENSG00000151239.13|TWF1	65	31	88	53	85	208	160	123	121
ENSG00000151240.16|DIP2C	66	78	25	6	0	117	46	0	11
ENSG00000151247.12|EIF4E	306	221	199	172	410	631	407	108	656
ENSG00000151276.23|MAGI1	0	0	0	0	0	0	0	0	0
ENSG00000151287.16|TEX30	65	74	62	152	15	79	68	23	76
ENSG00000151292.17|CSNK1G3	144	198	240	157	94	317	326	194	364
ENSG00000151303.11|AL136982.1	0	7	1	0	0	0	0	0	0
ENSG00000151304.5|SRFBP1	49	1	86	100	39	79	14	41	53
ENSG00000151320.10|AKAP6	13	0	0	0	1	0	0	0	39
ENSG00000151322.18|NPAS3	0	0	0	0	0	0	0	0	0
ENSG00000151327.12|FAM177A1	715	408	316	979	555	772	1084	667	1055
ENSG00000151332.18|MBIP	69	23	81	69	27	202	66	124	187
ENSG00000151338.18|MIPOL1	0	0	0	0	0	0	0	0	0
ENSG00000151348.13|EXT2	391	359	817	567	876	1591	159	163	782
ENSG00000151353.14|TMEM18	194	151	167	68	201	170	232	56	238
ENSG00000151360.9|ALLC	0	0	0	0	0	0	0	0	0
ENSG00000151364.16|KCTD14	0	0	0	0	0	1	0	0	0
ENSG00000151365.2|THRSP	0	0	0	0	0	0	0	0	0
ENSG00000151366.12|NDUFC2	142	114	96	89	95	287	63	143	100
ENSG00000151376.16|ME3	2	0	74	46	0	177	70	1	36
ENSG00000151379.3|MSGN1	0	0	0	0	0	0	0	0	0
ENSG00000151388.10|ADAMTS12	0	0	0	0	0	0	0	0	0
ENSG00000151413.16|NUBPL	32	39	37	31	30	85	88	38	121
ENSG00000151414.14|NEK7	75	33	99	98	119	169	41	50	122
ENSG00000151418.11|ATP6V1G3	0	0	0	0	1	0	10	0	0
ENSG00000151422.12|FER	78	79	41	103	66	192	28	25	31
ENSG00000151445.15|VIPAS39	115	74	221	161	16	359	163	63	101
ENSG00000151458.11|ANKRD50	2	9	0	0	0	52	5	0	33
ENSG00000151461.19|UPF2	426	451	547	370	359	453	367	318	500
ENSG00000151465.13|CDC123	319	357	685	374	659	908	507	372	552
ENSG00000151466.11|SCLT1	203	137	232	90	196	420	41	42	172
ENSG00000151468.10|CCDC3	0	0	0	9	0	0	0	0	0
ENSG00000151470.12|C4orf33	57	9	56	52	125	196	26	27	64
ENSG00000151474.21|FRMD4A	0	41	0	7	0	1	0	0	7
ENSG00000151475.5|SLC25A31	0	0	0	0	0	0	0	0	0
ENSG00000151490.13|PTPRO	18	16	32	9	23	30	2	6	24
ENSG00000151491.12|EPS8	99	98	116	108	128	471	153	202	279
ENSG00000151498.11|ACAD8	422	527	1144	542	249	1038	83	237	293
ENSG00000151500.14|THYN1	669	623	1062	703	1107	1121	515	322	665
ENSG00000151502.10|VPS26B	1687	1538	2735	2678	2826	3814	1603	1845	3180
ENSG00000151503.12|NCAPD3	83	91	217	119	257	187	120	221	163
ENSG00000151532.13|VTI1A	527	313	1136	515	654	1240	934	1092	1836
ENSG00000151552.11|QDPR	484	344	661	463	879	530	108	60	259
ENSG00000151553.14|FAM160B1	63	54	98	140	165	237	190	125	460
ENSG00000151572.16|ANO4	0	0	0	0	0	0	0	0	0
ENSG00000151575.14|TEX9	13	0	1	1	5	51	1	3	3
ENSG00000151576.10|QTRT2	53	72	123	171	64	91	129	103	239
ENSG00000151577.12|DRD3	0	0	0	0	0	0	12	0	0
ENSG00000151611.13|MMAA	121	186	234	212	48	207	184	109	106
ENSG00000151612.15|ZNF827	60	66	698	460	46	179	466	286	257
ENSG00000151615.3|POU4F2	0	0	0	0	0	0	0	0	0
ENSG00000151617.15|EDNRA	0	0	0	0	0	0	0	0	0
ENSG00000151623.14|NR3C2	74	44	34	217	14	45	28	33	143
ENSG00000151631.8|AKR1C6P	10	0	3	0	0	0	0	0	0
ENSG00000151632.17|AKR1C2	9	0	0	1	0	0	0	0	0
ENSG00000151640.12|DPYSL4	18	0	34	69	27	0	56	40	191
ENSG00000151650.7|VENTX	7	2	5	18	5	98	1	0	210
ENSG00000151651.15|ADAM8	5221	3680	5469	4805	2001	10902	3073	2788	5243
ENSG00000151655.18|ITIH2	0	0	0	29	1	0	0	0	0
ENSG00000151657.11|KIN	130	207	274	90	119	274	173	142	157
ENSG00000151665.12|PIGF	50	37	122	68	161	282	37	29	57
ENSG00000151687.14|ANKAR	53	63	46	54	13	91	91	48	95
ENSG00000151689.12|INPP1	110	69	226	162	248	66	41	93	99
ENSG00000151690.14|MFSD6	142	94	360	353	248	330	251	258	452
ENSG00000151692.14|RNF144A	60	115	333	118	201	133	175	134	374
ENSG00000151693.10|ASAP2	171	45	1	57	522	339	118	2	98
ENSG00000151694.12|ADAM17	317	209	156	222	502	789	207	266	468
ENSG00000151702.16|FLI1	1156	620	2340	789	1896	2783	473	352	1046
ENSG00000151704.15|KCNJ1	0	0	0	13	0	0	6	0	0
ENSG00000151715.7|TMEM45B	118	15	28	17	14	89	34	1	7
ENSG00000151718.15|WWC2	11	1	36	0	27	49	33	27	5
ENSG00000151725.11|CENPU	29	31	7	3	107	73	24	64	49
ENSG00000151726.13|ACSL1	512	32	153	291	1818	2407	282	186	1146
ENSG00000151729.10|SLC25A4	183	383	689	428	403	684	215	174	517
ENSG00000151743.10|AMN1	37	17	43	14	80	187	37	9	48
ENSG00000151746.13|BICD1	61	79	200	54	264	239	31	151	200
ENSG00000151748.14|SAV1	261	137	50	66	98	173	135	49	145
ENSG00000151773.12|CCDC122	5	0	12	0	16	13	0	2	6
ENSG00000151778.10|SERP2	5	0	6	0	0	0	52	23	5
ENSG00000151779.12|NBAS	287	218	326	489	459	459	249	219	250
ENSG00000151789.10|ZNF385D	0	0	0	0	17	26	44	0	0
ENSG00000151790.8|TDO2	0	0	0	0	0	0	0	0	0
ENSG00000151806.13|GUF1	50	27	153	71	88	205	79	111	135
ENSG00000151812.14|SLC35F4	0	0	8	0	0	0	0	0	0
ENSG00000151834.15|GABRA2	0	0	0	0	0	0	0	0	0
ENSG00000151835.14|SACS	74	88	58	82	55	83	132	71	89
ENSG00000151838.11|CCDC175	0	0	0	0	1	0	0	0	0
ENSG00000151846.8|PABPC3	4	3	0	1	0	2	1	1	2
ENSG00000151849.14|CENPJ	18	72	6	10	73	130	35	0	54
ENSG00000151876.12|FBXO4	65	45	133	188	183	279	109	110	244
ENSG00000151881.14|TMEM267	16	11	41	26	67	34	47	28	72
ENSG00000151882.11|CCL28	163	130	188	105	49	143	93	157	210
ENSG00000151883.17|PARP8	547	545	1213	906	520	1467	836	1041	1344
ENSG00000151892.14|GFRA1	0	0	0	0	0	0	0	0	0
ENSG00000151893.14|CACUL1	848	686	761	681	986	1859	1160	923	2317
ENSG00000151914.19|DST	61	0	4	15	24	75	50	0	53
ENSG00000151917.17|BEND6	0	0	0	0	0	7	0	0	0
ENSG00000151923.17|TIAL1	138	176	175	167	194	317	169	131	235
ENSG00000151929.9|BAG3	502	257	964	628	393	545	1081	1040	1414
ENSG00000151948.11|GLT1D1	275	57	170	137	868	938	136	39	578
ENSG00000151952.15|TMEM132D	0	0	0	0	0	0	0	0	0
ENSG00000151962.7|RBM46	0	0	0	0	0	0	0	0	0
ENSG00000151963.4|ZNF37CP	0	0	0	0	1	0	0	0	0
ENSG00000151967.18|SCHIP1	0	0	0	0	0	0	0	0	3
ENSG00000152034.10|MCHR2	0	0	0	0	0	0	0	0	0
ENSG00000152049.6|KCNE4	0	0	0	0	0	0	0	0	0
ENSG00000152056.16|AP1S3	26	0	29	15	26	4	37	31	0
ENSG00000152061.23|RABGAP1L	616	673	903	996	1599	1961	699	452	608
ENSG00000152076.18|CCDC74B	0	0	0	0	0	0	5	0	18
ENSG00000152078.9|TMEM56	0	0	19	0	3	0	0	0	22
ENSG00000152082.13|MZT2B	1203	1909	1819	2338	1871	2690	1872	1885	1577
ENSG00000152086.8|TUBA3E	0	0	3	0	0	0	0	0	0
ENSG00000152092.15|ASTN1	0	0	0	0	0	0	0	0	0
ENSG00000152093.7|CFC1B	0	0	0	0	0	0	0	0	0
ENSG00000152102.17|FAM168B	312	419	353	245	364	877	489	467	902
ENSG00000152104.11|PTPN14	1	9	32	37	0	26	20	2	0
ENSG00000152117.17|AC073869.1	344	281	322	432	173	260	947	686	1263
ENSG00000152127.8|MGAT5	107	223	390	178	75	584	119	207	311
ENSG00000152128.13|TMEM163	11	111	44	40	224	99	20	24	4
ENSG00000152133.14|GPATCH11	37	39	74	16	13	53	26	29	28
ENSG00000152137.6|HSPB8	0	0	0	0	0	0	0	0	0
ENSG00000152147.10|GEMIN6	59	186	150	93	317	261	67	32	133
ENSG00000152154.10|TMEM178A	0	0	0	0	0	0	0	0	0
ENSG00000152192.7|POU4F1	0	0	0	0	0	0	0	0	0
ENSG00000152193.7|RNF219	34	28	41	14	1	33	17	23	28
ENSG00000152207.7|CYSLTR2	17	36	34	51	25	143	33	46	76
ENSG00000152208.12|GRID2	0	0	0	0	0	0	0	0	0
ENSG00000152213.3|ARL11	297	1	53	17	568	1228	4	0	98
ENSG00000152214.12|RIT2	0	0	0	0	0	0	0	0	0
ENSG00000152217.16|SETBP1	27	102	114	104	141	371	127	74	65
ENSG00000152219.4|ARL14EP	107	96	148	64	101	271	132	114	124
ENSG00000152223.12|EPG5	101	170	167	110	157	104	104	139	211
ENSG00000152229.18|PSTPIP2	204	161	308	157	1042	917	114	81	317
ENSG00000152234.15|ATP5A1	4279	3578	5116	4712	8445	10992	4069	4143	7941
ENSG00000152240.12|HAUS1	134	77	232	68	176	350	161	139	84
ENSG00000152242.10|C18orf25	191	205	251	102	114	373	330	185	516
ENSG00000152253.8|SPC25	0	19	14	0	27	15	1	0	0
ENSG00000152254.10|G6PC2	0	0	0	0	0	0	0	0	0
ENSG00000152256.13|PDK1	178	78	185	200	394	364	163	80	325
ENSG00000152266.6|PTH	0	0	0	0	0	0	0	0	0
ENSG00000152270.8|PDE3B	532	236	639	1547	678	948	2032	921	1421
ENSG00000152284.4|TCF7L1	2	2	0	0	13	22	0	0	17
ENSG00000152291.13|TGOLN2	2963	2087	4590	1870	4215	7493	2342	2016	4312
ENSG00000152292.16|SH2D6	25	0	0	0	7	0	80	0	0
ENSG00000152315.4|KCNK13	34	7	0	2	53	58	12	1	24
ENSG00000152332.15|UHMK1	218	123	488	446	203	658	264	158	383
ENSG00000152348.15|ATG10	109	50	158	190	375	375	98	81	230
ENSG00000152359.14|POC5	6	44	88	23	55	37	9	1	14
ENSG00000152377.13|SPOCK1	13	22	44	0	0	26	0	0	0
ENSG00000152380.9|FAM151B	25	14	1	10	22	84	3	17	13
ENSG00000152382.5|TADA1	390	307	763	553	450	703	494	339	578
ENSG00000152402.10|GUCY1A2	0	0	0	0	0	0	0	0	0
ENSG00000152404.15|CWF19L2	102	84	229	111	93	170	135	114	104
ENSG00000152409.8|JMY	358	317	70	524	129	367	211	571	840
ENSG00000152413.14|HOMER1	28	172	1	90	1	30	94	67	7
ENSG00000152422.15|XRCC4	35	1	41	43	32	223	25	0	1
ENSG00000152430.17|BOLL	0	0	0	0	0	0	0	0	0
ENSG00000152433.14|ZNF547	0	0	0	0	0	0	2	0	2
ENSG00000152439.12|ZNF773	42	2	123	3	1	122	129	105	112
ENSG00000152443.12|ZNF776	26	71	59	23	45	44	54	37	81
ENSG00000152454.3|ZNF256	76	1	19	53	1	0	34	30	171
ENSG00000152455.15|SUV39H2	6	46	0	44	25	19	0	2	10
ENSG00000152457.17|DCLRE1C	133	118	410	107	223	492	205	276	390
ENSG00000152463.14|OLAH	0	0	0	0	0	0	0	0	4
ENSG00000152464.14|RPP38	84	167	229	166	320	354	382	195	363
ENSG00000152465.17|NMT2	302	344	539	627	165	531	270	125	378
ENSG00000152467.9|ZSCAN1	0	0	0	0	0	0	0	0	0
ENSG00000152475.6|ZNF837	35	0	357	31	1	205	24	28	59
ENSG00000152484.13|USP12	147	233	116	101	133	449	484	216	625
ENSG00000152492.13|CCDC50	237	92	265	163	454	795	437	280	467
ENSG00000152495.10|CAMK4	497	221	856	517	425	538	701	668	768
ENSG00000152503.9|TRIM36	0	0	0	0	0	2	1	0	2
ENSG00000152518.7|ZFP36L2	56625	48121	53224	82990	37236	80725	50150	58041	163072
ENSG00000152520.13|PAN3	324	164	499	319	339	861	498	312	918
ENSG00000152527.13|PLEKHH2	3	0	1	11	0	0	4	0	0
ENSG00000152556.15|PFKM	197	3	150	139	160	212	51	22	112
ENSG00000152558.14|TMEM123	869	310	1373	959	1166	2334	664	956	1437
ENSG00000152578.12|GRIA4	0	0	0	0	0	0	0	0	0
ENSG00000152580.8|IGSF10	0	0	0	0	0	0	0	0	0
ENSG00000152582.13|SPEF2	12	15	28	0	17	21	27	2	98
ENSG00000152583.12|SPARCL1	0	0	0	0	0	0	0	0	0
ENSG00000152591.12|DSPP	0	0	0	0	0	0	0	0	0
ENSG00000152592.13|DMP1	0	0	0	0	0	0	0	0	0
ENSG00000152595.16|MEPE	0	0	0	0	0	0	0	0	0
ENSG00000152601.17|MBNL1	1632	1596	1997	1407	1594	2931	2676	1246	2349
ENSG00000152611.11|CAPSL	0	0	0	0	0	0	0	0	0
ENSG00000152620.12|NADK2	38	26	80	50	119	160	35	60	57
ENSG00000152642.10|GPD1L	193	75	43	82	139	280	120	45	209
ENSG00000152661.7|GJA1	0	0	0	0	0	0	0	0	0
ENSG00000152669.8|CCNO	0	0	32	0	0	0	0	0	0
ENSG00000152670.18|DDX4	0	0	0	0	0	0	0	0	0
ENSG00000152672.7|CLEC4F	0	0	53	12	0	2	0	0	0
ENSG00000152683.14|SLC30A6	16	4	33	2	137	171	18	3	81
ENSG00000152684.10|PELO	201	258	345	264	275	273	405	524	277
ENSG00000152689.17|RASGRP3	33	120	183	24	65	202	44	3	87
ENSG00000152700.13|SAR1B	324	92	369	277	600	450	335	251	487
ENSG00000152705.7|CATSPER3	0	0	0	0	3	0	0	0	1
ENSG00000152749.7|GPR180	52	31	70	37	13	44	70	75	1
ENSG00000152760.9|TCTEX1D1	0	0	0	0	26	2	0	0	0
ENSG00000152763.16|WDR78	11	0	24	10	4	14	13	0	4
ENSG00000152766.5|ANKRD22	44	10	44	13	940	207	0	0	3
ENSG00000152767.16|FARP1	11	15	27	22	14	26	15	13	10
ENSG00000152778.8|IFIT5	45	97	166	76	117	362	286	209	112
ENSG00000152779.13|SLC16A12	0	0	0	0	0	0	6	0	0
ENSG00000152782.16|PANK1	1	0	7	0	4	45	1	0	0
ENSG00000152784.15|PRDM8	357	112	132	272	155	417	156	117	214
ENSG00000152785.6|BMP3	0	0	0	0	0	0	0	0	0
ENSG00000152795.17|HNRNPDL	3996	3092	5370	4196	3152	6428	4461	3551	5817
ENSG00000152804.10|HHEX	299	531	275	238	715	1598	541	600	1929
ENSG00000152818.18|UTRN	718	418	872	617	449	1642	673	269	911
ENSG00000152822.13|GRM1	0	0	0	0	0	1	0	0	0
ENSG00000152894.14|PTPRK	13	21	46	55	11	55	38	96	37
ENSG00000152904.11|GGPS1	170	46	226	159	230	319	174	100	142
ENSG00000152910.18|CNTNAP4	0	0	0	0	0	0	0	0	0
ENSG00000152926.14|ZNF117	10	4	19	4	11	15	17	0	11
ENSG00000152931.7|PART1	0	0	0	0	0	0	0	6	0
ENSG00000152932.7|RAB3C	0	0	0	0	0	13	0	0	0
ENSG00000152936.10|LMNTD1	0	0	0	0	0	0	0	0	0
ENSG00000152939.14|MARVELD2	0	0	35	1	0	0	0	0	0
ENSG00000152942.18|RAD17	130	137	320	102	140	225	103	81	113
ENSG00000152944.8|MED21	62	38	39	59	57	120	118	57	109
ENSG00000152952.11|PLOD2	0	0	0	39	68	27	0	29	13
ENSG00000152953.12|STK32B	1	0	0	0	0	2	0	0	55
ENSG00000152954.11|NRSN1	0	0	0	0	0	0	0	0	0
ENSG00000152969.18|JAKMIP1	91	155	503	571	70	386	172	78	154
ENSG00000152977.9|ZIC1	0	0	0	0	0	0	0	0	0
ENSG00000152990.13|ADGRA3	0	11	0	1	0	9	0	3	0
ENSG00000153002.11|CPB1	0	0	0	0	0	0	0	0	0
ENSG00000153006.15|SREK1IP1	249	362	498	204	270	228	500	458	419
ENSG00000153012.11|LGI2	0	0	0	0	0	0	0	0	0
ENSG00000153015.15|CWC27	148	131	214	164	247	223	218	196	235
ENSG00000153029.14|MR1	584	363	643	435	626	1001	239	133	473
ENSG00000153037.13|SRP19	52	45	62	46	48	34	62	67	73
ENSG00000153044.9|CENPH	57	2	74	115	67	162	91	29	105
ENSG00000153046.17|CDYL	193	87	98	112	159	372	130	45	146
ENSG00000153048.10|CARHSP1	1122	605	916	661	625	1337	836	487	884
ENSG00000153060.7|TEKT5	6	0	0	0	0	32	0	0	0
ENSG00000153064.11|BANK1	381	315	372	70	95	979	134	61	361
ENSG00000153066.12|TXNDC11	600	328	785	828	1832	2169	1394	815	3445
ENSG00000153071.14|DAB2	306	109	134	193	1715	920	207	72	190
ENSG00000153086.13|ACMSD	0	0	1	0	1	0	4	0	0
ENSG00000153093.18|ACOXL	0	0	0	0	16	2	0	0	0
ENSG00000153094.22|BCL2L11	352	215	361	225	423	695	706	323	1555
ENSG00000153107.11|ANAPC1	160	224	361	242	155	303	257	177	447
ENSG00000153113.23|CAST	1544	1371	2430	1854	2327	4369	2856	2418	3486
ENSG00000153130.17|SCOC	145	105	271	275	184	393	239	340	263
ENSG00000153132.12|CLGN	0	0	0	0	0	47	0	0	29
ENSG00000153140.8|CETN3	13	13	35	6	6	46	4	18	0
ENSG00000153147.5|SMARCA5	230	255	378	183	331	508	303	379	475
ENSG00000153157.12|SYCP2L	2	0	8	0	0	0	0	0	0
ENSG00000153162.8|BMP6	34	64	0	18	466	198	35	2	96
ENSG00000153165.18|RGPD3	1	0	2	0	0	0	0	1	0
ENSG00000153179.12|RASSF3	847	961	720	815	1168	3213	596	365	1124
ENSG00000153187.18|HNRNPU	2663	2041	2857	2441	3584	5353	2054	1736	3762
ENSG00000153201.15|RANBP2	380	301	350	349	237	295	461	396	704
ENSG00000153207.14|AHCTF1	74	96	19	35	99	83	116	124	210
ENSG00000153208.16|MERTK	0	1	0	19	86	105	0	2	45
ENSG00000153214.9|TMEM87B	155	206	243	270	350	693	244	164	113
